,hsa-let-7c,hsa-let-7e,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-106a,hsa-mir-10a,hsa-mir-10b,hsa-mir-1180,hsa-mir-127,hsa-mir-128-1,hsa-mir-128-2,hsa-mir-1287,hsa-mir-129-2,hsa-mir-134,hsa-mir-141,hsa-mir-142,hsa-mir-146a,hsa-mir-146b,hsa-mir-148a,hsa-mir-150,hsa-mir-155,hsa-mir-17,hsa-mir-181c,hsa-mir-181d,hsa-mir-182,hsa-mir-183,hsa-mir-187,hsa-mir-18a,hsa-mir-200b,hsa-mir-200c,hsa-mir-203a,hsa-mir-20a,hsa-mir-20b,hsa-mir-210,hsa-mir-215,hsa-mir-218-2,hsa-mir-23b,hsa-mir-27b,hsa-mir-29a,hsa-mir-29b-1,hsa-mir-29b-2,hsa-mir-29c,hsa-mir-3065,hsa-mir-31,hsa-mir-335,hsa-mir-34c,hsa-mir-363,hsa-mir-379,hsa-mir-381,hsa-mir-409,hsa-mir-410,hsa-mir-429,hsa-mir-432,hsa-mir-451a,hsa-mir-4661,hsa-mir-4772,hsa-mir-485,hsa-mir-487b,hsa-mir-508,hsa-mir-539,hsa-mir-582,hsa-mir-584,hsa-mir-629,hsa-mir-651,hsa-mir-675,hsa-mir-708,hsa-mir-889,hsa-mir-9-1,hsa-mir-9-2,hsa-mir-9-3,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-93,hsa-mir-96,hsa-mir-99a,hsa-mir-135b,hsa-mir-200a
TCGA-GM-A2DH,9.207373463,8.718910838,0.675648849,0.377020438,2.948562163,16.69336607,14.28925189,3.938808756,8.524928247,8.375956568,8.359652521,4.989217045,1.032313175,6.465277543,9.388323102,11.18967305,7.261762404,8.187815784,13.05168245,10.96075876,9.115980668,7.972265428,5.844141065,4.575753786,13.85484443,12.60032875,8.171469446,2.24282137,8.042585442,13.12291765,8.509049714,6.630943819,4.575753786,7.51241445,3.881492641,3.536343897,7.676204344,8.625450194,12.56435847,6.056481912,6.02705127,10.41338886,7.731989711,1.401966801,5.581629063,2.672614068,4.286641886,9.150129375,4.39300769,3.226879791,3.554793761,7.277122303,1.133977731,6.215686478,1.228947335,2.672614068,1.133977731,1.228947335,6.470145797,0.804585589,6.141334444,4.0856094,6.392777191,1.481270521,2.099373313,4.854218769,3.029943831,6.094811534,5.906526221,5.973200127,11.73025018,11.70517666,12.67051206,4.654851035,8.151909186,1.228947335,8.900283078
TCGA-GM-A2DM,6.903157931,8.869723678,0.631793444,1.069689107,1.069689107,14.72522681,16.26354918,3.119831906,8.064891418,4.803486925,4.589679427,3.934209814,1.796060692,6.745861088,9.20738701,9.384473152,4.685215144,5.664735432,14.07640269,5.60897671,6.122803152,7.140779198,5.755577266,3.908044771,13.81351806,11.82787043,0.631793444,2.871674142,8.142688262,11.9490093,4.194476994,6.509639254,3.073498075,7.680434672,3.710259717,2.192726949,7.33985613,7.733547885,13.21509418,6.913058894,7.026855266,11.63820729,5.813108674,1.405159712,4.058357715,2.356475705,2.699308202,9.237248749,3.854246551,2.871674142,3.648384677,6.581759381,1.069689107,11.9033823,0.631793444,0.350208679,1.547556436,0.631793444,2.103310304,0.867292382,4.009972885,4.803486925,6.807317064,1.069689107,1.405159712,3.331503443,3.250522182,4.622232665,4.358038146,4.556374662,11.71048058,11.68458351,10.82433775,3.331503443,5.23039948,0.350208679,8.285455709
TCGA-GM-A2DN,10.06599074,7.75655773,1.098218758,1.098218758,3.340165865,14.47446013,14.09300961,2.263937911,9.545254152,4.938448451,4.807424582,4.085138315,0.464982907,7.276327243,9.071421135,10.84589349,6.95230019,7.265670287,15.70488535,9.489100276,9.0846185,7.465149542,4.550761743,3.284945959,12.7386462,10.15433761,4.402990816,1.334112285,7.222237352,11.8014504,8.41679521,6.53375761,4.42869442,5.57824403,2.144929668,4.148383596,8.906285183,10.14854874,14.29432689,7.615403592,7.498906985,12.41755333,4.883745629,2.476021034,4.527160564,3.227527921,3.588411345,9.64250524,4.527160564,3.393350023,4.148383596,5.300503499,1.872673157,6.149245828,0.464982907,3.542062375,1.334112285,1.536800918,1.872673157,0.816067992,6.377556857,3.949668271,4.956231262,1.098218758,2.745132112,5.138612374,3.444643084,5.169430673,5.138612374,5.214457807,11.14282645,11.08464667,10.91912433,3.760212855,9.21958151,3.227527921,7.372170441
TCGA-GM-A2DA,11.07059429,8.842257643,0.759092754,0.759092754,2.365848163,13.25304139,16.78708989,1.74598936,9.541789467,5.109085326,5.137742901,4.248160907,0.635931729,6.831185945,8.813237629,7.744199255,6.377153516,6.626008907,14.11018246,8.478844193,7.712163609,8.049591362,4.081151779,2.20182673,14.10734395,12.25784721,0.187115284,1.74598936,8.362256853,12.49429031,6.518972476,6.338173936,3.736083225,3.7948444,1.74598936,3.690386476,7.886082464,9.207898573,12.61598913,5.56236614,5.488637242,10.61937983,3.175068008,1.075793422,4.5160567,3.721011229,2.513110693,9.904197459,4.49848634,2.365848163,4.453600741,6.131427061,0.872561664,6.671798624,0.635931729,1.804356361,1.966500238,1.335332896,0.501266903,0.501266903,6.079194061,2.614462975,4.982091226,1.253899738,3.197020218,4.020890625,3.82335124,3.865082244,3.610853582,3.837396125,10.85841856,10.86228746,11.37204804,5.252250255,9.370665156,0.352724632,8.135224613
TCGA-GM-A2DB,10.13777883,8.667242074,1.04650503,1.188162882,3.345321002,13.50144379,14.53842976,3.218944333,9.101493594,6.211297433,6.26425492,5.024114946,0.71309046,7.443278361,8.945610562,9.37635473,7.180488619,7.724832261,15.39835012,9.831571513,8.3084898,8.30751972,4.611256909,3.375258148,14.05967843,12.76811785,7.817697072,3.283516013,9.028602899,12.17827017,11.20708114,6.845623061,4.437699215,7.757877153,1.188162882,3.542901484,8.183989355,9.612644289,13.2622238,6.8267884,6.8267884,11.10036292,6.980769221,0.889408123,5.784723799,2.208756649,3.716653385,9.890091396,5.024114946,2.661657947,4.864419879,7.898516035,2.140668405,6.874732378,0.889408123,2.069206864,2.140668405,1.74163654,1.994020277,1.188162882,6.620417749,5.886973749,5.795834624,2.661657947,1.914698837,5.382074111,4.743384415,12.25033681,12.2529217,12.23038528,11.31817321,11.31141454,11.97019769,4.520403704,8.815861324,1.04650503,9.594067843
TCGA-EW-A2FR,10.43013035,8.903508025,0,0.412444451,1.408546118,13.62009516,14.68922674,3.897186009,9.026708867,5.564727489,5.594676213,5.847760621,3.213110054,7.91643273,7.96309942,9.413781162,4.594890612,7.387692638,13.60369683,6.657405277,5.822672796,7.531397665,5.805701883,3.575431784,13.6736185,12.63074991,5.896664225,1.578037321,7.37048409,11.40692861,11.62713351,6.839355899,2.107483668,9.394756537,1.866912724,2.865491484,9.245432176,9.612274888,10.59786119,5.643249265,5.460155047,8.67845807,5.564727489,1.21645859,5.323759191,1.866912724,0.994809234,10.22562253,5.146396789,3.990251942,4.67183032,4.814396456,1.578037321,7.284286908,0.412444451,1.21645859,2.728130147,1.729693281,2.865491484,2.654211878,4.335887735,5.481684722,3.864780338,1.408546118,5.997256453,6.132705335,4.312049545,7.768819348,7.616578278,7.703894903,11.23812457,11.21561476,12.08015562,4.633873309,9.767688697,3.990251942,6.305635008
TCGA-A2-A0CK,10.63725862,8.150371737,1.750440575,1.531912898,0.960396794,15.41107156,14.50669495,2.518340249,8.418421137,5.078494515,5.182356729,3.799766104,0,6.233597533,9.630006996,10.12431708,5.445032464,5.847823297,12.85650841,7.916237487,6.025910935,7.874205279,6.497969451,4.487946572,13.28386403,11.00728723,0.211187924,1.608492761,9.360317967,12.27141318,9.975713764,8.161534809,1.940179909,7.075073587,1.940179909,4.026017694,8.377975585,9.340809285,11.52895808,6.613960758,6.532774198,10.88176984,6.65741571,0.705370184,6.821233812,3.150891556,1.072782216,9.070837766,4.557204388,3.342436697,3.64475419,6.527853199,1.750440575,5.728505145,0.705370184,1.681211758,1.451039099,1.274272398,3.342436697,1.451039099,3.429446312,3.766729673,5.00248871,2.258030708,5.037533952,4.914734757,3.386597423,4.304457159,4.371914823,4.315921426,11.40762845,11.41797198,12.36090588,4.995376381,10.48006347,1.072782216,8.660212024
TCGA-A2-A0CR,10.49531499,7.492604873,0,0.804753253,2.414598312,15.06790829,17.37447805,2.331410572,8.808997947,6.548575061,6.543963554,3.881858205,0.37711153,6.50415899,9.647848838,10.93078325,7.007989001,7.089362966,14.19469392,10.23113641,8.06888822,7.560388187,5.493901903,3.51801298,13.69885757,11.04207054,1.628153465,1.696234242,9.524823619,11.70582675,9.080997588,6.980949134,3.759903945,4.423820034,1.940361102,4.007760805,7.614172193,8.311353115,12.5123789,6.316826987,6.343609075,10.69791512,4.801493883,0.67579516,5.802672536,3.107325644,2.89197924,9.40501758,5.016476619,2.373603949,3.711375411,7.187241959,2.243130711,7.281672771,0.67579516,2.60372888,1.556699658,1.628153465,1.134191363,1.556699658,4.646650061,4.492441788,5.810373204,2.373603949,3.644022148,4.557947217,4.085978478,5.802672536,5.652253494,5.590982403,10.85229429,10.85019458,11.6875191,4.567066964,9.7848469,1.556699658,9.381301657
TCGA-A2-A0EP,10.99650455,8.905768963,0.79324335,0.957829186,3.337671564,13.32346364,14.94091005,2.40410964,10.34850152,6.14651701,6.107613452,3.716584688,0.394105805,7.981404903,7.989749202,11.77031923,7.674868654,9.123178642,13.93968745,11.09295336,8.133315331,7.998636285,4.605862369,2.756814297,10.7734533,8.391719912,4.690201569,2.540184776,7.791280996,10.69907361,8.420222476,7.708479836,5.173034303,6.784137138,4.132913706,4.455616092,8.687546382,9.936841389,12.79689491,6.816663687,6.745238771,11.25291162,2.983828158,1.2395343,6.759251753,2.487284646,3.858729112,10.63923893,5.967379969,3.805702502,5.70894972,5.771126168,3.424650718,9.527779266,0.957829186,3.129035677,2.734289294,2.664524482,0.79324335,2.253850434,5.147689874,5.637917711,5.843943707,2.285180249,5.604154579,5.604154579,5.474255225,4.891924285,4.971117925,4.951723321,11.57599618,11.57693601,11.57406513,2.565924913,10.19703324,0.957829186,7.052290972
TCGA-A2-A3XS,10.52363001,8.880587071,1.025712052,0.799066578,2.821259379,13.31127982,14.0723852,4.914325234,8.573279621,5.746479091,5.81255221,6.700501586,2.320733915,6.673563858,9.443830599,11.19178201,7.51363091,7.646372564,14.38929055,9.68286783,7.154647375,10.27975137,6.971126457,5.275703747,12.89135214,11.47849357,5.35609545,4.921388389,8.664504483,12.24835599,12.76653067,9.614240699,2.320733915,8.990031776,1.687026637,3.995257107,7.927278223,8.985826594,12.31335275,6.700501586,6.609410408,10.08768908,5.523262534,3.044700288,6.637561155,1.751857441,1.547910747,9.101506037,4.996882984,3.428633392,4.008583786,7.343962496,1.472975866,4.990180769,2.661707878,1.813899782,1.751857441,1.393934533,2.443566075,1.472975866,5.96388766,7.406963479,6.211586333,2.403772714,5.190566625,5.621944661,3.869430439,10.21152244,10.22692613,10.21350188,13.6389822,13.63304509,12.84020986,4.328502171,10.06992109,6.069395544,8.60048792
TCGA-GM-A3XL,9.769887954,8.579365973,0.471487156,0,3.306025952,11.25657881,13.39844801,4.573238661,7.738741124,7.267434222,7.208327429,4.924903123,1.110774142,6.319289266,10.36828955,11.50262455,6.912174684,8.411004986,14.94003389,9.222622351,8.684761368,10.53240951,5.679479368,4.139235767,13.31423062,11.73370558,1.730848602,5.701079106,8.170916163,12.92198142,11.89672609,9.914424645,4.619344572,11.41976198,3.248510852,3.78196426,7.482264256,9.364735827,13.14331011,8.178635389,8.178635389,10.88801068,3.740843823,3.69851699,6.298185239,0.82625519,3.609945213,8.891467524,5.266569633,2.392845215,3.563532914,4.006746114,1.552225071,9.324422172,2.392845215,2.992349517,1.110774142,1.552225071,2.032914026,1.348319114,4.849536713,5.048004031,6.556976867,3.361335767,3.248510852,5.081329059,3.563532914,6.218050144,6.068198784,6.101065838,13.76613812,13.76765832,12.99804786,5.554529086,9.264933505,3.69851699,8.632323414
TCGA-GM-A3XN,10.96895508,8.575904439,1.011210077,1.53816664,2.826519608,13.96466394,14.82774346,3.635233627,9.747248056,5.521690163,5.658513217,3.664416279,0.816969087,7.723534098,8.866206948,9.516659002,6.019166608,6.739799967,13.33686209,8.765433801,6.880124058,7.366493649,5.857996467,4.076282877,13.24678576,10.82473711,2.691278879,2.10457284,8.680937077,11.59638815,9.15479437,7.197106435,4.769702088,6.316672534,2.773934524,4.269094729,8.780506159,9.731606905,12.33815156,6.161571081,6.088092504,10.86486883,7.161728292,0.709070906,7.297151496,3.734890156,3.762143188,10.46953065,5.316390118,3.975099945,5.352700271,6.448341154,2.510241911,7.427344837,0.709070906,1.099329546,2.603598099,2.542036613,1.599890473,1.473684062,3.891182737,4.249970365,5.21155139,1.659081066,4.934487581,5.493509833,4.96412772,4.259564236,4.220799838,4.139999112,11.12921412,11.1207674,12.26899595,4.191027384,10.30453603,1.011210077,8.786325367
TCGA-A2-A3XW,11.91922332,8.734842186,4.87007329,4.650236719,1.720833544,13.20060594,15.69641511,2.752891784,9.16412544,5.109590737,5.323245756,4.437388155,0.545231023,6.6664232,9.403546444,8.837621667,6.028911553,6.540404482,13.81823501,8.047732105,6.288258774,8.403230849,4.292764672,2.541554983,11.73002438,9.112392592,1.50437327,0.939984029,7.829164523,12.04543581,15.77260874,7.401620168,2.847981478,8.056469274,0.939984029,4.702065607,10.48176651,11.1370111,12.80228445,6.44476707,6.463657945,11.10713612,4.75209693,0.298220749,5.411509124,0.939984029,2.359881518,9.798963776,6.338248168,3.247348801,4.187610043,5.264129649,2.359881518,5.66758017,0.939984029,1.103083991,2.48350238,1.103083991,5.85094468,1.103083991,5.538106656,4.75209693,5.128654772,1.817989103,3.021200756,4.892553551,3.641700694,7.986350882,8.033894466,7.965296081,12.03315772,12.04127612,10.94351162,1.817989103,11.28042202,0.939984029,7.875043104
TCGA-A2-A3XX,10.3043026,10.64517538,0.396965025,0.707940842,2.442092884,13.59590445,14.2229933,4.126827357,8.156984776,6.149716863,6.392053952,4.898349422,6.900371969,6.424335505,8.558286215,10.85758097,5.934981505,7.202924359,14.89247458,9.020968164,6.992965553,9.533122886,4.898349422,3.255780785,12.44874319,11.89031099,6.194080333,4.252015553,9.20178283,11.70441093,7.656855348,8.680261287,4.046144576,9.134267915,1.536257848,3.302843971,7.546305288,8.026373953,11.62257816,6.580505329,6.429646224,9.681287278,3.556920081,0.963626524,6.353455856,1.369425722,1.685781858,9.233252845,5.225913642,2.994249876,3.302843971,7.501617576,1.536257848,5.502806287,3.207130551,1.685781858,2.263282047,1.685781858,1.821254276,1.821254276,7.636331637,7.913400427,6.237120188,2.442092884,4.046144576,5.522822197,3.47709845,13.09926878,13.10036186,13.09196032,12.86019698,12.85311214,13.16492387,2.935731665,9.370745519,5.213651693,9.96438863
