"","hsa-let-7e","hsa-mir-106a","hsa-mir-10a","hsa-mir-128-1","hsa-mir-128-2","hsa-mir-141","hsa-mir-146a","hsa-mir-146b","hsa-mir-150","hsa-mir-155","hsa-mir-17","hsa-mir-182","hsa-mir-183","hsa-mir-18a","hsa-mir-200c","hsa-mir-20a","hsa-mir-20b","hsa-mir-215","hsa-mir-29a","hsa-mir-335","hsa-mir-34c","hsa-mir-363","hsa-mir-381","hsa-mir-4661","hsa-mir-4772","hsa-mir-485","hsa-mir-629","hsa-mir-651","hsa-mir-708","hsa-mir-9-1","hsa-mir-9-2","hsa-mir-9-3","hsa-mir-92a-1","hsa-mir-92a-2","hsa-mir-93","hsa-mir-96"
"TCGA-GV-A3QH",10.0929645570191,3.83367938263928,12.3844344007926,6.61800156948249,6.48843589249791,11.0251959135108,6.21176701548159,5.88883976622901,5.06789121803295,4.7609578635991,10.190429410425,13.3497383014797,12.7306883429544,6.54539449652438,13.3559986164037,9.39904069838016,4.84402664202684,7.01300124955795,11.1240734441976,7.5345279914697,2.0751944224409,3.95075328563252,4.90333266172964,2.96897085016661,3.4651630631336,1.58916759319451,6.47546712378867,4.02383692686456,5.21558669757872,9.22206839847595,9.23847392253687,9.20743637001316,13.5956964795822,13.5948534963928,13.5129822724423,5.13540660899613
"TCGA-CU-A3YL",9.05170833969635,2.58537937935191,13.9583278706537,6.09852512660949,6.25315921319769,10.2625947794533,5.16035769523727,6.5550838720537,7.67115413549962,6.06658205577582,9.13107001175304,12.6825621487037,11.9742872555933,4.83337280593485,13.4928855402972,8.66938409521782,5.4599205765995,1.90725757054969,10.4817948957447,6.16540029427815,2.58537937935191,3.64431650917152,4.7553693352697,1.80771225397288,0.807569249399756,1.80771225397288,6.0932501518695,2.08784535931426,4.49233122240884,6.02839866189133,5.97777232516746,6.2001658780276,12.6683325303451,12.6540171429624,13.2796755604946,4.32240345671464
"TCGA-DK-A3WX",9.31010307266977,2.42677571376322,11.3901915978419,4.46003080282803,4.67302843215488,11.0114177317165,6.6042476010976,8.7361822596239,6.87560370788178,7.03816988800964,10.3521186382496,12.0777353434996,11.944699002435,6.77540903669011,12.0256805839567,9.59937730959274,2.83342973424572,0.907183721460249,11.746879400651,5.74208295308534,2.42677571376322,0.907183721460249,5.69410254330111,0.907183721460249,4.72170310707814,2.17041319095607,7.97360499643048,4.06667941190609,5.23901581576643,5.13503616893095,5.27207448895089,5.3360025349399,12.3031237169361,12.2958584203429,13.6407878486274,4.40147742467309
"TCGA-DK-A3WY",8.53024502326489,2.78423196006418,12.0183236623808,4.71503815012043,4.36216715053298,4.00060301065624,8.98543895905212,8.08783513052449,10.3435894447493,8.92131511724105,7.788955994879,8.57620473352851,6.18217981540559,2.86168088862253,7.34566548055201,7.4465187616085,3.89403592599483,1.33323193413557,12.9114258078218,5.50621454733184,1.43809213797553,2.82347607820499,4.14700640458884,0.650648771301691,1.22014852302234,1.71347455531477,4.76628862272081,1.33323193413557,4.83511177399669,7.14148462867618,7.13759734710877,7.11997377646282,11.3562659022845,11.3611706317775,11.2683408464015,0.464580448110788
"TCGA-FD-A3SJ",10.2767932802418,2.87034084709872,13.2101336946821,5.08873054035982,4.97211812645614,9.50682477167674,5.13767913659105,8.42594450376905,7.05657871648486,5.12559680122158,7.97743538268937,10.0390348212601,9.71341879004422,3.62100414506864,12.2780971359653,7.60675421569316,4.9100755296652,0.526468503047148,11.2093610277544,5.65739517211809,2.43402367013813,3.31538798358087,3.63811578481223,1.38669784357486,0.794102234550667,1.92188986294185,5.98283369469666,1.21486834788244,4.72226463423261,6.66615527738921,6.63453038148516,6.68685985356416,11.515427908988,11.5240833211198,12.4190704855028,2.02955536385255
"TCGA-FD-A3SO",8.92933228456905,2.67488657241574,9.75578378018626,4.78034170358856,5.18812703026766,9.47378528841921,7.0052422124179,8.64387180325732,7.95334133009073,6.90073973656628,9.713219461974,12.1557178591048,11.0737091810151,4.10078056682972,12.4816641403782,9.05516993615567,2.56974893607195,0.924212407664209,11.9796461962111,3.80899134944082,0.924212407664209,1.48300054517179,5.20577960664153,1.48300054517179,2.33325598204937,3.38201685597997,6.70361939334965,0.534882350071479,6.13173063568367,5.51986822898917,5.67999408592311,5.40230561627488,13.1906812526646,13.189156807584,12.3803744485658,4.17435072635804
"TCGA-FD-A3SQ",9.95019159789601,2.19963685606472,12.9725288839975,4.77582195048337,4.77582195048337,7.59578303029915,4.31002122358787,6.58191858661108,5.52689324158662,4.53489666418992,6.78523838739245,11.0567514688257,8.96405280258737,1.63534346064007,11.4611104507967,6.4592807671478,3.87096012148869,0.168538065354964,11.3566568057203,4.95940850894546,4.22653534889029,2.66186267640641,4.59531048063362,1.08083977930927,0.695631312706466,2.57452323184649,3.66087626336179,0.993745362697221,4.77582195048337,3.74328358403776,3.5431236547346,3.60320093571957,10.3260705282579,10.3288532181607,10.7010724959069,2.23803933770165
"TCGA-DK-A3WW",7.61463154634184,2.60620720841839,12.2567039076855,5.91152858646953,5.95578000863712,10.5282708035916,6.53297372236513,9.29466523513164,8.7529591039705,8.51597325432735,9.95849998432609,11.4724217896041,9.70758865419642,5.43693203071146,13.1062096557653,9.70758865419642,3.76432481516165,1.22602323409426,13.4271756821847,3.58274192768955,2.54130815896395,1.98048893607713,4.07062194371259,2.54130815896395,4.52124475879657,0.618882320523249,6.69091774731614,2.16412752010613,3.84720791737468,6.65685762832803,6.53297372236513,6.47768045189028,13.4264036945633,13.4360239748594,12.4594627095075,3.08739342048935
"TCGA-FJ-A3Z7",10.5845663777141,4.17443542235317,13.8049905762171,6.64565356217903,6.55753284208213,10.7892652322656,5.36781027286537,7.13611369698731,7.40797536540066,6.14884889435898,10.4647677510523,13.974527802237,12.4942952751157,5.21296909829986,13.688050915228,9.98408188564632,6.28770177974151,1.16089954123492,10.5325465588521,6.31483404636263,1.44908907054074,4.79165349078817,5.57651016579966,4.00708908974865,1.89496517738723,1.89496517738723,4.09318736980777,2.44612016012415,7.18839589985032,9.23285408559526,9.26160864806448,9.23403902786529,13.6593412726425,13.6540392758839,13.3271786364209,5.59875777769398
"TCGA-GC-A3YS",9.75470740618054,2.18522464104363,11.1868345428384,6.26862080075936,6.36385006355286,8.04728181449004,6.43901029416177,7.51318138414022,6.10388721547211,5.94965076417267,8.99109633284661,11.9475992871376,10.7239207468947,3.99330906823236,11.5015033797853,8.58793908912488,4.20907821614677,0.451047014488205,11.5649237230892,5.54331980449559,3.41483573328603,2.64634517188602,5.93818193857163,1.83561044595076,1.6228591512262,2.80629415132153,6.63465957920293,2.14588349319776,6.08581047629063,5.75094417492949,5.75748444570988,5.93241315393166,12.4680255134136,12.460153381156,13.254908081895,3.51086560984122
