"","hsa-mir-1180","hsa-mir-127","hsa-mir-134","hsa-mir-141","hsa-mir-148a","hsa-mir-181c","hsa-mir-187","hsa-mir-200b","hsa-mir-200c","hsa-mir-210","hsa-mir-29b-1","hsa-mir-29b-2","hsa-mir-379","hsa-mir-409","hsa-mir-410","hsa-mir-429","hsa-mir-432","hsa-mir-487b","hsa-mir-584","hsa-mir-889","hsa-mir-135b","hsa-mir-200a"
"TCGA-EX-A449",6.51091256307646,6.20822427041493,4.31688493410009,10.9462354882531,15.5301067126579,4.87751428369775,0,10.0678923484355,13.9466134102538,10.559124186579,6.36261972627543,6.4931883817507,6.39161065544041,2.29201485607074,0.638556740523369,7.52495390845785,1.07966278168011,0.638556740523369,3.04229780386546,2.11790278909403,3.95196464407639,10.2444710734484
"TCGA-IR-A3LB",2.72759311620085,7.75105106187005,6.49182018647744,9.12657198141575,13.904752519165,4.49287781524069,0.574343753920013,10.1183160311335,12.7134270022003,10.0211831765753,7.20174080481645,7.27189164541854,8.1823338980011,2.67332960002757,2.61694505450664,7.47191004164869,1.30275713084058,1.97599622416682,7.01254546639571,3.29307541082877,6.70967577175477,10.3413389315866
"TCGA-EA-A44S",1.4334840254088,7.75036387371891,5.77779955328424,9.61056521467337,13.4149827377307,4.14011015036339,0.647999655760195,9.50944145188294,13.1862199044152,8.45620399321664,7.84590166838541,7.93995215713312,8.05719710681549,2.99872409355008,2.56412180217242,7.20431177816339,1.7083978298414,1.4334840254088,5.26384618177871,3.86867284000844,2.77798542511191,8.96401690233806
"TCGA-EA-A4BA",6.67792303497302,8.41064363160054,8.24589310884865,9.13092506444945,14.4329507230586,6.05450217126442,0.846667411722567,9.34795068840249,13.8400841301247,9.39660972358118,5.2065412534697,5.58803031359497,8.02492439360561,4.68642219932229,3.86510858010744,7.79533016074994,4.08464598912315,1.37667045784714,3.60606172340346,3.03299616498006,6.72223104824071,9.19127641449297
"TCGA-RA-A741",2.65176490960839,7.30090488437158,5.15210276219579,9.76414779482754,14.8975824459479,5.05352014352275,0.94310741325454,8.76121152419905,12.9929669071557,6.37416070156394,7.07632646189576,7.09680417459,7.81134602237068,2.09466442248036,2.35333881910815,6.68527560744774,0.417396179869754,0.94310741325454,5.40150438907836,2.68977192916028,4.86291527040531,8.81190566491901
"TCGA-VS-A8EC",5.56796307028356,6.03207599702839,4.41610456364131,12.0539731856809,13.7400051511564,5.84830467371379,0.334437843731641,10.2775810731881,14.7930078326926,11.0893692919791,5.84830467371379,5.73273658845761,6.668204878623,1.35913711279921,1.95223924756431,8.93480787721547,1.03107401265734,0.60575222276429,4.26768777491506,2.13472037413738,2.91114565098024,10.5923454184373
"TCGA-VS-A9V5",3.43167965023035,7.12194513177514,4.54438671379751,8.25970474110073,13.2210119981228,5.44890517881671,0.688763138906179,9.61260521551066,11.5219574890585,8.58572611545156,6.11962522536698,6.16339046571185,7.61164950026892,2.35905303383604,2.95063936245086,6.84122719414133,0.93949139235582,0.819567640905254,4.40549883273596,3.65834037679623,5.57925450197959,9.68436939070956
"TCGA-IG-A7DP",1.82229492877569,8.11901727407068,6.40123972358472,7.38488164717242,14.9057376209856,5.10924127719494,0.446095274381996,6.24114592925241,9.55625910277371,4.75963640348009,8.0692813764937,8.09340695773426,8.78782728922058,2.55868201257216,3.30414798602362,3.19421615115184,0.930448958940703,1.18155803326543,4.9407539065522,3.54711070906685,3.91948825382115,6.52276557248771
"TCGA-L5-A88W",3.9081373147237,7.76678631145858,7.30403336204946,10.4990692361403,13.3590654504941,3.38947884322863,6.594218561009,8.37124970855542,13.6685189069073,10.8490371886989,7.08503981684773,7.10677239016595,9.55366397961251,3.00116883072595,3.74032132839894,6.60647465287129,2.57185953168204,1.95792313965943,8.25733184052175,3.78414054132824,5.25145968710673,8.95415989060338
"TCGA-V5-AASV",3.07678806802948,7.8081286817713,5.98548282913586,10.3215337828835,14.4997939984473,6.39154322637211,3.76407710040475,8.92353916421404,13.1689180625707,9.59922007257371,6.9674724155117,7.24282244680825,7.96830338409299,3.42300676135751,3.17143775545481,5.77551631241184,2.14815903738428,1.71739106335055,3.42300676135751,2.47944374142255,4.31320223645426,8.94714212046913
"TCGA-CR-5247",5.74066233147197,8.5799215877102,8.03486637295672,9.03391206658921,11.7240116174543,4.30186525821216,2.29834569777084,8.06097721358796,13.1163435864291,10.9443328232226,6.13857318058382,6.24179178155416,10.6238224461907,3.48964209182995,4.02150620026622,6.65725144265703,2.82703020344821,1.66774909723176,8.68896979145102,4.13312034185159,4.20300408418603,8.81217795384444
"TCGA-CR-5248",3.37902923595422,5.60487766092017,3.90144280517717,9.80888162852781,16.056017714756,5.51566180739547,4.05004870541917,8.72185911104574,12.0377076270624,9.12435413316249,7.49441114597271,7.50732509339097,6.35872426336073,1.3903006375017,0.98024470485339,6.15716211706969,0.405194029049323,0.721182766874744,4.15881073767766,0.405194029049323,4.23531839151976,9.32148901146738
"TCGA-CR-7389",4.89508018870155,8.23795010410906,7.41755739872849,7.8631982600779,14.7613195080577,5.43838880624088,3.76346394823622,8.92096942589671,12.2260599154272,8.79487536302317,5.80589541326161,5.87694829086694,9.3444084892245,3.67922762689575,4.52857431927327,6.35081281978797,2.94023498317542,1.34509429191281,6.40426942030198,3.62020738931264,2.78766836682538,9.41067044218915
"TCGA-CR-7383",3.56288775231747,9.41549046821714,8.47939679564744,9.76432114733183,12.9981335954849,3.76773413369071,4.58964012169862,6.78476081579616,11.4572890926331,6.9283537165322,5.04844380229518,5.06407899930097,11.0769691156798,3.32406473024466,4.77205861761237,4.35558106350815,2.4133541548384,1.28828236461943,7.4286247667679,4.79097367792882,3.27116089873043,8.10355297762064
"TCGA-CR-7404",3.86308764367586,7.69867663897855,5.95780107709075,9.22808421026065,14.4721242321718,4.62223401227966,3.16861973393955,8.37111709594899,11.5859222020104,6.98623957659533,6.99805280651495,6.95020815032661,8.55695606701379,2.1617980551859,3.27602089982681,5.33143149689832,1.03027745113892,0.430255294587544,5.62347585466451,3.05257518003661,2.78806507211911,8.16650004881659
"TCGA-DQ-7590",4.31205913179105,8.00782171650877,7.62310232672261,8.65844796893733,15.7599846163675,5.77356564061807,6.65678764026951,8.45428915461556,11.5029078224481,11.4333181949579,7.10502057208783,6.92933382336414,9.51809786987572,2.67572900561295,2.71854838345922,5.57815863199867,1.23106615828121,1.45015602535948,5.58395971969371,3.35605082102471,7.14481086475702,8.85776163905799
"TCGA-DQ-7593",4.14006678334189,6.79441574937483,5.15872007098853,9.06405287844513,16.9681156325271,6.91093481929018,1.45977939737478,9.19047301571273,11.112143797628,11.0440007639818,7.65637258921676,7.6873361168303,7.45518536886995,1.60522881181132,2.17035005295985,5.97399598116385,1.11577171910056,0.663166064842506,6.8207205863371,2.42670943884738,3.10202078629765,9.84243776682717
"TCGA-DQ-7594",4.19122554558317,10.1089025540643,8.64481831238938,10.3711449714893,15.5030350537726,4.76018463907172,4.45671049196186,9.19765938018194,11.4894568337329,10.3107403613791,6.16824749469,6.13074401554343,11.0830487595631,5.14582607773252,5.51365487123731,6.2429636489155,3.46177998767862,2.41950814964706,6.26291182790335,4.91947700324645,4.89411991208271,9.89148373725555
"TCGA-DQ-7596",3.20546758623364,5.8721234145438,5.177948598587,10.4588023639255,15.5308558746364,6.04021078029293,3.3048669989573,9.17909892612038,12.0667288488916,10.9559327352035,7.4622642645194,7.49420481526873,7.15108830388962,1.723713197861,0.990546855734002,6.52039482448751,0.410318307898343,0.729407460416778,6.27895396478515,2.20750901872336,4.71871215981509,10.225806679346
"TCGA-CN-A498",4.55270106313282,5.14489027886461,4.4130224285228,10.562620979904,15.3659053534521,4.58560543875146,7.48268019543341,8.40681137973519,12.7859790107198,11.6968302424895,7.88747639008957,7.89241603605383,6.85189969837698,1.53356284987417,1.53356284987417,6.46221495647564,1.05856310089217,1.39192440660204,6.55651600214448,2.41452146318564,5.65162477945786,9.06954273602405
"TCGA-CN-A49A",4.90546012779538,9.15858808423092,8.01132947066012,10.0732805406395,13.3950478915418,4.88746946270875,5.87663554963947,7.49499808333036,12.4283211100032,11.4254204403979,6.71928269766286,6.68584290057265,10.0940199701161,4.08498173460155,5.78728618153185,6.30372371494076,5.01722969361598,2.71615795017012,6.50592450438342,5.30163585756396,3.60198300679323,7.97771301049965
"TCGA-BA-A6DL",4.47013705888159,6.82681759154922,7.25431349592048,11.6643459447736,15.1641928899208,3.00981634811117,4.4469923459611,9.26881855252504,13.2680178567977,9.82297686975617,9.01020485563534,9.02786070020933,8.37903096500616,2.57003370183748,2.57003370183748,7.75599500663834,1.63987393872576,1.04137827236191,4.47013705888159,2.3875751241555,5.91310001418531,9.04337542201774
"TCGA-CN-A63W",3.97713134115968,6.68120160764827,6.38945242752969,10.7035287189786,12.0481450775795,4.4864216860263,4.77958893880845,9.8392124568411,13.8004888183304,11.578446679244,8.18145363308374,8.1469073530339,8.09241803074171,1.77584743934286,2.01095488467809,7.20826048515186,1.14547856149193,0.683559925109568,8.19444692236052,3.15044107177007,4.88198718317987,10.666886086945
"TCGA-H7-A6C4",2.44102552652173,7.49811901609272,5.42200614866104,9.59354549317351,13.6937310802008,3.92108418340607,5.2266085978932,9.10833185981659,13.2821541884158,8.08953078250479,8.57636322335393,8.61052411370652,8.18755194809289,1.94794401011971,2.71667796569702,7.06356097898281,1.44092350325727,1.77800077969919,6.60046246378269,2.97448948180379,4.95473373052603,8.65876544627048
"TCGA-MZ-A6I9",2.65027561400321,6.78004879690429,6.23346757705108,9.67194350568663,15.4063682748125,4.33458743901383,1.03954130939217,9.27142390652688,13.394373084495,7.50245229851483,7.55468553970097,7.51638228445889,8.26923896181598,2.33524570274827,3.18471462466974,7.29345467206864,1.36924981883799,1.03954130939217,5.72996066974679,4.14675793066111,3.75392153496967,9.8222129583656
"TCGA-QK-A6IF",2.77277267935028,6.32272170148389,5.60331807228369,9.95647350357064,14.3806786394681,5.90010394581329,0.460899797187532,8.96988701300057,13.6606970431213,8.21815862912296,7.73539660618665,7.61867802765994,7.48411591526751,2.25217371603471,1.09031147137604,5.63097654172612,1.09031147137604,0.460899797187532,7.196398868623,3.12369963163295,6.39225250004115,8.82474529176687
"TCGA-QK-A6IG",4.97994466065772,7.56423000422526,7.02900736392663,10.4068081267958,12.2382208239936,5.04099948937151,6.78314961681428,8.40186919525072,13.7671324314792,8.61162682159619,9.02372667989801,8.97840265037688,8.46003346988375,2.42370240144071,2.80787234458082,6.75791222545351,1.39892383162406,1.39892383162406,8.18502606444153,3.01683074676427,4.184994957695,9.18051161520818
"TCGA-QK-A6II",2.26911934640526,6.41479883749163,6.25388062523781,10.1808171324508,12.6615815512486,2.96752702291349,4.26924324981088,8.36552484809389,12.9784495207518,10.1124048790785,8.84884777365967,8.82126300528047,7.57890684065004,2.09576681172104,2.09576681172104,6.34870921320252,1.39904309169052,0.628311672241403,7.75689337009709,2.42385888432664,5.60743690647917,8.30083364693311
"TCGA-CN-A6UY",5.39650333517701,4.94013145806496,3.79781723773847,9.96369388702859,13.661400920307,4.58254420128682,2.86444053189832,9.13289037012095,12.8908528787456,8.76053772565335,7.91626117951984,7.94396387910203,5.99605729981228,1.24533440784206,1.37806209823442,7.59173058826336,0.425119807166215,0.542913738762935,3.22321169097931,1.17409125399894,6.91130973240564,9.8060273266256
"TCGA-T2-A6WX",4.2299300992662,7.17909086984429,6.90931746260314,9.38329496472138,15.5195452430214,4.16929023630047,6.90931746260314,8.16766047315544,12.6513954875956,11.6964602245851,9.11243983780639,9.15541215941801,8.64034130430929,2.49421180092622,2.67955261246212,5.39892926829224,1.19363235497845,1.48655529458442,8.175390015796,2.67955261246212,5.85543488037403,9.64411364278233
"TCGA-QK-A8Z7",4.02501355217839,8.76535715333108,6.15153229454771,9.93307146283339,14.1242805392145,6.1277429014013,2.21843153143412,8.90085589416276,12.8038548497687,9.53799557855656,7.30787171241328,7.39728836247571,9.55688800599625,3.78539905557505,5.08962242369834,7.82575844314089,2.21843153143412,2.055062695228,3.47653605934324,5.01748021540835,4.44364888416357,9.59177444929225
"TCGA-MH-A855",4.00458085063344,5.56442853396249,3.73058637686877,1.21109071384336,13.0436792749166,6.04495495639642,0.908237251716568,9.01148144372402,4.18925211041445,8.73051342248096,6.85069868943712,6.83231649217962,5.88292808796102,1.21109071384336,1.53586683032948,6.58248344494892,0.908237251716568,0.196764397537837,5.35375194223577,1.80079679853155,3.05419798914021,8.52553876730665
"TCGA-FG-A711",4.42407240768628,9.10591011360123,7.38985699073473,0.308001991775426,8.58782576659292,7.718850470329,1.70528302972084,1.05030386836575,2.77205793119983,6.39945076835621,7.59468231061865,7.52741600496581,9.92270532685629,3.76697682651142,5.92165328527687,0,3.70250462290908,3.6892571092769,6.96158965652146,5.09089381518719,0.162204879218259,0.874186321973219
"TCGA-50-5933",1.21203075668828,8.23559460570006,6.70839865758664,8.26161687699508,13.1832126334635,3.41350296337535,0.909010376315513,5.90230801026958,11.5302719070673,7.80985911448762,6.5885142481877,6.5280512485965,8.83256586175689,2.5429174521646,3.18891549323354,3.49999190274988,1.34259741130071,1.34259741130071,4.42006800737445,2.59624415255052,3.35282178984165,6.69928796013066
"TCGA-50-5051",3.23066123917285,7.26564758937972,4.71743416703412,8.51359261574783,13.9721759732381,5.7342951482375,2.72056741314755,8.31993454565771,11.6534301149285,6.43933433695187,5.72629784431546,5.63953557781232,7.91368228327599,1.12242092917686,2.95762491649355,5.4041654797088,0.912910407804476,0.795517612578691,4.35208623578342,2.47543254094038,2.93003710580094,7.87260751291844
